Season,TeamName,de_TOPct,de_ORPct,de_FTRate,o_eFGPct,o_TOPct,o_ORPct,o_FTRate,Tempo,AdjTempo,OE,DE,AdjDE,AdjEM,Off_2,Off_3,Def_2,Def_3,CONF,G,W,2P_D,3P_O,3P_D,WAB,POSTSEASON,SEED
2023,Kent St.,22.2480328485661,30.2101576182137,38.0846325167038,50.8016032064128,16.2716004951278,31.1918850380389,31.5130260521042,69.2054,67.7233,108.302,96.0599,96.5223,11.2,50.98670963,30.68868304,46.94621696,30.4922516,MAC,33.0,28.0,47.9,33.2,31.0,0.8,R64,13.0
2023,Kentucky,16.567400688487,25.0648228176318,29.9118714359772,50.6356968215159,17.4853833123873,39.202657807309,31.9315403422983,66.7883,65.7815,110.982,100.918,98.7991,17.3987,56.55608215,25.23696682,52.49457701,28.89370933,SEC,34.0,22.0,48.6,34.7,32.4,1.6,R32,6.0
2023,Louisiana,18.3556047223539,26.3362487852284,34.1575618171363,52.8089887640449,17.6532218885904,33.3333333333333,37.0224719101124,68.6117,68.288,108.848,101.53,102.935,8.50575,54.34969854,26.61498708,55.19779209,25.66697332,SB,31.0,26.0,49.3,36.5,35.6,-0.5,R64,13.0
2023,Marquette,22.5285311990514,31.7133443163097,29.1243347847121,55.9797608095676,15.2561632330418,26.2417218543046,27.0469181232751,69.3382,68.115,112.892,100.116,96.6971,22.3811,51.40056022,33.82352941,51.38339921,31.8972332,BE,36.0,29.0,50.3,35.3,34.7,7.8,R32,2.0
2023,Maryland,18.4088689251008,28.1276962899051,28.3995815899582,50.8311688311688,16.4664463047065,30.0,34.2857142857143,64.4904,64.1574,108.155,98.2063,95.5513,17.9907,51.55737705,28.64754098,55.53555356,26.59765977,B10,35.0,22.0,47.4,32.8,32.3,1.0,R32,8.0
2023,Memphis,20.7858296227431,32.7039274924471,34.3897824030274,53.0295801526718,18.2805695552185,31.2178387650086,35.4484732824427,72.2139,71.1448,108.543,98.0504,96.1,18.5258,56.80345572,23.21814255,45.30254777,33.32006369,Amer,35.0,26.0,47.1,35.3,30.8,4.7,R64,8.0
2023,Miami FL,18.0884988597018,28.7747035573123,24.0289069557362,54.2857142857143,16.0569611907936,31.7880794701987,30.702947845805,68.9572,68.8375,114.09,103.858,101.204,17.9395,53.33333333,28.51282051,53.06275836,32.1307779,ACC,37.0,29.0,51.8,36.8,33.5,3.7,F4,5.0
2023,Michigan St.,14.7949635109246,25.1857968620974,27.9613624809354,51.6975308641975,16.389630236653,27.6079136690647,27.1604938271605,65.3981,64.6775,106.671,102.032,96.6258,17.6113,52.01161344,31.3562837,51.0177566,31.83196189,B10,34.0,21.0,48.7,39.3,32.4,2.4,S16,7.0
2023,Mississippi St.,21.7043012253328,28.6195286195286,27.5824770146025,46.745867768595,19.3820303123343,35.5411954765751,33.8326446280992,64.908,63.6371,100.04,92.7221,91.3545,13.4946,57.11727842,23.90331244,45.92378196,36.46888567,SEC,34.0,21.0,45.8,26.6,31.1,0.4,R68,11.0
2023,Missouri,24.0053931035182,37.1956339210747,34.1841841841842,54.9952198852772,15.8143636999529,26.3381478334749,29.0630975143403,69.987,68.6903,112.051,105.834,105.259,13.0657,48.00868936,35.30050688,44.70046083,35.59907834,SEC,35.0,25.0,52.2,36.0,35.0,3.5,R32,7.0
2023,Montana St.,20.0739330122101,25.426944971537,35.1075877689694,50.9543088490457,17.7887308166237,25.6559766763848,43.956043956044,67.1761,66.3092,105.031,99.4342,99.6127,5.49049,51.75363559,23.60992301,51.19423164,28.12077512,BSky,33.0,25.0,48.8,31.8,34.6,-2.7,R64,14.0
2023,N.C. State,18.8544553623919,26.2027491408935,34.0238218539617,51.4436296975252,13.3114974384816,30.3627760252366,25.2520623281393,69.7994,68.9506,110.707,101.323,100.004,13.5467,53.04578131,31.89557321,54.31893688,25.53986711,ACC,34.0,23.0,50.9,34.7,31.6,1.1,R64,11.0
2023,Nevada,18.4661309637446,24.9312557286893,31.7567567567568,50.7204610951009,15.2727398948264,22.7884615384615,39.135446685879,66.2295,65.9043,106.537,100.796,99.0956,12.7358,47.32492388,29.23010004,47.06959707,33.92857143,MWC,32.0,22.0,50.0,34.4,33.0,0.7,R68,11.0
2023,Northern Kentucky,23.3672928567222,33.0097087378641,30.500582072177,49.0686535391166,17.3370237324068,31.5743944636678,26.9292176689729,63.1347,62.0497,103.839,100.388,102.151,0.65486,47.77475023,35.96730245,48.64104967,34.02061856,Horz,33.0,22.0,49.3,34.3,36.4,-6.7,R64,16.0
2023,Northwestern,21.2529346348696,27.719298245614,31.6490838423098,47.2815040650407,14.6928321894342,28.5248573757131,29.6747967479675,65.0238,64.4472,103.382,96.4676,94.2864,15.5942,47.06904038,33.73860182,45.92314902,35.84817245,B10,34.0,22.0,46.8,32.1,33.8,1.6,R32,7.0
2023,Oral Roberts,17.4279980101892,27.7303754266212,21.7142857142857,55.4498714652956,13.2196625326632,24.4916820702403,24.2159383033419,70.5206,70.1655,115.34,99.5374,102.229,11.654,46.57425743,38.85148515,50.27624309,35.91160221,Sum,31.0,30.0,46.8,36.5,34.3,1.6,R64,12.0
2023,Penn St.,13.0872084922359,25.5707762557078,25.5181943804698,55.4476551397442,13.706477032878,19.1722972972973,21.2695405021317,64.4081,64.2579,110.252,104.293,101.133,16.0438,44.36962215,43.20987654,52.77337559,31.73534073,B10,37.0,23.0,49.2,38.7,32.7,1.3,R32,10.0
