Season,TeamName,de_TOPct,de_ORPct,de_FTRate,o_eFGPct,o_TOPct,o_ORPct,o_FTRate,Tempo,OE,DE,AdjDE,AdjEM,Off_2,Off_3,Def_2,Def_3,CONF,G,W,2P_D,3P_O,3P_D,WAB,POSTSEASON,SEED,FUTURE_ODDS
2022,Jacksonville St.,17.07009064,27.07581227,21.60493827,53.56489945,19.70774313,28.24974411,32.05362584,66.1555,106.164,100.427,103.153,1.97112,45.28301887,37.64150943,46.52087475,38.76739563,ASun,30,21,47.5,38,32.7,-5.2,R64,15,100000
2022,Kansas,18.06214875,28.43853821,27.70634591,53.78186377,17.24276134,32.85821455,32.34433765,69.5448,111.437,96.1531,91.701,27.4855,54.84180249,27.42090125,54.27509294,27.88104089,B12,40,34,46.4,36.1,29.8,10.4,Champions,1,1400
2022,Kentucky,17.4967984,24.87804878,25.42120912,53.11621368,16.6535792,37.67123288,28.02249297,69.2574,114.128,95.9264,94.2785,25.7224,60.94039245,22.99148464,54.08749448,29.56252762,SEC,34,26,47.3,34.7,30.8,6.9,R64,2,800
2022,LSU,25.08148893,30.93877551,37.7562028,49.32668329,20.72850325,33.85502471,33.36658354,70.4792,102.099,89.775,88.6547,18.6489,53.42521281,26.75314147,43.78478664,33.81261596,SEC,34,22,47.6,31.6,28.2,2.3,R64,6,8000
2022,Longwood,20.11278435,24.42996743,26.52037618,51.30066546,18.73798643,33.63363363,35.2692075,67.153,108.101,99.2291,103.697,2.22179,46.60377358,33.39622642,49.82060482,34.13634034,BSth,29,26,53.9,38.4,32.1,-2.3,R64,14,200000
2022,Loyola Chicago,20.10132854,24.01466544,28.89534884,55.56516724,18.45752831,25.12562814,31.48788927,65.5308,108.587,92.7513,92.0696,16.521,46.56587473,36.67386609,50.90909091,30.60606061,MVC,32,25,47.3,37.6,30.9,1.8,R64,10,15000
2022,Marquette,18.93732158,31.64155432,29.46473237,52.14099217,17.16059347,22.53141831,26.21409922,71.6118,102.828,99.3666,96.1711,13.0612,49.4723512,34.8248206,51.83246073,30.10471204,BE,32,19,46.4,34.4,32,0.6,R64,9,10000
2022,Memphis,20.43951355,30.86124402,33.19587629,52.32189974,22.48773202,37.37556561,37.78364116,71.0152,105.859,96.637,93.9532,17.2324,55.16129032,24.7983871,44.78935698,35.38802661,Amer,33,22,45.5,35.5,32,1.4,R32,9,12500
2022,Miami FL,20.44320065,30.34705408,24.81273408,53.34737828,13.97282841,22.39800167,28.83895131,67.8876,108.617,103.51,99.0951,14.8019,55.11695906,28.17982456,53.32308874,32.84671533,ACC,37,26,53,33.9,34.5,2.6,E8,10,15000
2022,Michigan,14.73778301,24.04844291,25.61403509,52.14614205,17.26675169,30.97426471,29.38170669,67.4537,107.489,103.056,97.2491,16.6067,56.7611336,25.87044534,55.50847458,28.60169492,B10,34,19,50.4,33.9,32.4,0.2,S16,11,10000
